Feature,Low_Correlation_Candidate,Redundancy_Candidate,Selected_In_Recommended_Set
AGE_YEARS,False,True,False
AMT_CREDIT,False,True,False
ANNUITY_CREDIT_RATIO,True,False,True
ANNUITY_INCOME_RATIO,True,False,True
APARTMENTS_MEDI,False,True,False
APARTMENTS_MODE,False,True,False
BASEMENTAREA_MEDI,False,True,False
BASEMENTAREA_MODE,False,True,False
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,False,True,False
BUREAU_OVERDUE_AMOUNT_MAX,False,True,False
CC_AMT_INST_MIN_REGULARITY_MAX,False,True,False
CC_AMT_INST_MIN_REGULARITY_MEAN,False,True,False
CC_AMT_INST_MIN_REGULARITY_SUM,False,True,False
CC_AMT_PAYMENT_CURRENT_MAX,False,True,False
CC_AMT_PAYMENT_CURRENT_MEAN,False,True,False
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,False,True,False
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,False,True,False
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,False,True,False
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,False,True,False
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,False,True,False
CC_AMT_RECIVABLE_MAX,False,True,False
CC_AMT_RECIVABLE_MEAN,False,True,False
CC_AMT_RECIVABLE_MIN,False,True,False
CC_AMT_RECIVABLE_SUM,False,True,False
CC_AMT_TOTAL_RECEIVABLE_MAX,False,True,False
CC_AMT_TOTAL_RECEIVABLE_MEAN,False,True,False
CC_AMT_TOTAL_RECEIVABLE_MIN,False,True,False
CC_AMT_TOTAL_RECEIVABLE_SUM,False,True,False
CC_CC_MIN_PAYMENT_RATIO_MAX,False,True,False
CC_CC_PAYMENT_RECEIVABLE_RATIO_SUM,False,True,False
CC_CC_UTILIZATION_RATIO_SUM,False,True,False
CC_CNT_DRAWINGS_POS_CURRENT_MAX,False,True,False
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,False,True,False
CC_CNT_DRAWINGS_POS_CURRENT_SUM,False,True,False
CC_CNT_INSTALMENT_MATURE_CUM_MAX,False,True,False
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,False,True,False
CC_MONTHS_BALANCE_MIN,False,True,False
CC_MONTHS_BALANCE_SUM,False,True,False
CC_RECORD_COUNT,False,True,False
CC_SK_DPD_DEF_MEAN,False,True,False
CC_SK_DPD_DEF_SUM,False,True,False
CC_SK_DPD_MEAN,False,True,False
CC_SK_DPD_SUM,False,True,False
COMMONAREA_MEDI,False,True,False
COMMONAREA_MODE,False,True,False
CREDIT_INCOME_RATIO,True,False,True
DAYS_EMPLOYED,False,True,False
ELEVATORS_MEDI,False,True,False
ELEVATORS_MODE,False,True,False
EMPLOYMENT_AGE_RATIO,False,True,False
ENTRANCES_MEDI,False,True,False
ENTRANCES_MODE,False,True,False
FLAG_EMP_PHONE,False,True,False
FLOORSMAX_MEDI,False,True,False
FLOORSMAX_MODE,False,True,False
FLOORSMIN_MEDI,False,True,False
FLOORSMIN_MODE,False,True,False
INST_AMT_INSTALMENT_MEAN,False,True,False
INST_AMT_INSTALMENT_SUM,False,True,False
INST_AMT_PAYMENT_MAX,False,True,False
LANDAREA_AVG,False,True,False
LANDAREA_MODE,False,True,False
LIVINGAPARTMENTS_MEDI,False,True,False
LIVINGAPARTMENTS_MODE,False,True,False
LIVINGAREA_MEDI,False,True,False
LIVINGAREA_MODE,False,True,False
NONLIVINGAPARTMENTS_AVG,False,True,False
NONLIVINGAPARTMENTS_MEDI,False,True,False
NONLIVINGAREA_MEDI,False,True,False
NONLIVINGAREA_MODE,False,True,False
OBS_60_CNT_SOCIAL_CIRCLE,False,True,False
POS_CNT_INSTALMENT_FUTURE_SUM,False,True,False
POS_CNT_INSTALMENT_MAX,False,True,False
POS_CNT_INSTALMENT_MEAN,False,True,False
POS_CNT_INSTALMENT_VAR,False,True,False
POS_COMPLETED_RATE,False,True,False
POS_POS_INSTALLMENT_PROGRESS_MAX,False,True,False
POS_POS_INSTALLMENT_PROGRESS_MEAN,False,True,False
POS_POS_INSTALLMENT_PROGRESS_MIN,False,True,False
POS_POS_INSTALLMENT_PROGRESS_VAR,False,True,False
POS_SK_DPD_DEF_MEAN,False,True,False
POS_SK_DPD_DEF_SUM,False,True,False
POS_SK_DPD_DEF_VAR,False,True,False
POS_SK_DPD_RATIO_MAX,False,True,False
POS_SK_DPD_RATIO_MEAN,False,True,False
POS_SK_DPD_RATIO_MIN,False,True,False
POS_SK_DPD_RATIO_SUM,False,True,False
POS_SK_DPD_RATIO_VAR,False,True,False
POS_SK_DPD_SUM,False,True,False
POS_SK_DPD_VAR,False,True,False
PREV_AMT_APPLICATION_MAX,False,True,False
PREV_AMT_APPLICATION_SUM,False,True,False
PREV_AMT_CREDIT_MAX,False,True,False
PREV_AMT_CREDIT_MEAN,False,True,False
PREV_AMT_GOODS_PRICE_SUM,False,True,False
REGION_RATING_CLIENT,False,True,False
YEARS_BEGINEXPLUATATION_AVG,False,True,False
YEARS_BEGINEXPLUATATION_MODE,False,True,False
YEARS_BUILD_AVG,False,True,False
YEARS_BUILD_MODE,False,True,False
