number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_pr_auc,user_attrs_std_roc_auc,state
0,0.7687884060906257,2026-08-24 01:50:51.397669,2026-08-24 01:58:43.768170,0 days 00:07:52.370501,0.7045980821176709,0.2904180608409973,0.13125830316209655,7,12,418,2.1423021757741068,2.416482602989751,0.7046065241548528,0.25183312319569984,0.002390759588697426,COMPLETE
1,0.7818882432172441,2026-08-24 01:58:43.959030,2026-08-24 02:10:17.361492,0 days 00:11:33.402462,0.7136387385224853,0.9170225492671691,0.010573268083515799,8,17,569,0.0033205591037519565,1.6124278458562613,0.7243186887373967,0.27298635978356955,0.002269849989740602,COMPLETE
2,0.7829066293438522,2026-08-24 02:10:17.818011,2026-08-24 02:17:18.307577,0 days 00:07:00.489566,0.7782266451527922,2.28034992108518,0.022004527434741072,6,3,444,0.8431013932082461,0.2880416977880551,0.7522506269873264,0.27466579970587396,0.0023853685155189224,COMPLETE
3,0.7820744903674709,2026-08-24 02:17:18.497547,2026-08-24 02:22:09.049579,0 days 00:04:50.552032,0.6727680575448478,4.7444276862666666,0.049743185797885274,3,13,481,6.732248920775331,7.246804518258447,0.7096834432905521,0.27249964484061845,0.002447030683897761,COMPLETE
4,0.7788253899064226,2026-08-24 02:22:09.270980,2026-08-24 02:29:53.773243,0 days 00:07:44.502263,0.8233119185389446,0.17194260557609198,0.01302780710309028,7,9,387,3.5204810455260365,0.3939675937754722,0.6927133821956726,0.2693243032511426,0.0022513076133251512,COMPLETE
5,0.7847153086951634,2026-08-24 02:29:53.945246,2026-08-24 02:38:02.943996,0 days 00:08:08.998750,0.9893546197175955,3.8756641168055728,0.02325951592241212,6,11,548,4.9830438374949075,11.455777613940603,0.7146990594339345,0.27624781328263176,0.0019572088303092482,COMPLETE
6,,2026-08-24 02:38:03.134294,2026-08-24 02:41:26.769334,0 days 00:03:23.635040,0.7638656157671425,1.9433864484474102,0.12139707695554378,3,4,519,0.002273762810253686,8.071418522169695,0.6658295511186884,,,FAIL
7,,2026-08-24 02:42:13.523806,2026-08-24 02:42:57.152722,0 days 00:00:43.628916,0.7045980821176709,0.2904180608409973,0.13125830316209655,7,12,418,2.1423021757741068,2.416482602989751,0.7046065241548528,,,FAIL
8,0.7813393491115841,2026-08-24 02:43:37.137331,2026-08-24 02:51:22.399417,0 days 00:07:45.262086,0.7136387385224853,0.9170225492671691,0.010573268083515799,8,17,569,0.0033205591037519565,1.6124278458562613,0.7243186887373967,,,PRUNED
9,0.7829066293438522,2026-08-24 02:51:22.767894,2026-08-24 02:58:30.658249,0 days 00:07:07.890355,0.7782266451527922,2.28034992108518,0.022004527434741072,6,3,444,0.8431013932082461,0.2880416977880551,0.7522506269873264,0.27466579970587396,0.0023853685155189224,COMPLETE
10,0.7820744903674709,2026-08-24 02:58:30.834146,2026-08-24 03:03:15.194279,0 days 00:04:44.360133,0.6727680575448478,4.7444276862666666,0.049743185797885274,3,13,481,6.732248920775331,7.246804518258447,0.7096834432905521,0.27249964484061845,0.002447030683897761,COMPLETE
11,0.7780843920389946,2026-08-24 03:03:15.378035,2026-08-24 03:08:30.743545,0 days 00:05:15.365510,0.8233119185389446,0.17194260557609198,0.01302780710309028,7,9,387,3.5204810455260365,0.3939675937754722,0.6927133821956726,,,PRUNED
12,0.783810181863951,2026-08-24 03:08:30.949251,2026-08-24 03:11:51.706453,0 days 00:03:20.757202,0.9676826783488811,3.6390034249323966,0.10007221009665827,4,1,271,0.00013430313923346537,15.868994095681407,0.8740309758636448,0.2751882458992665,0.0017997599800413154,COMPLETE
13,0.7837578349208437,2026-08-24 03:11:51.887883,2026-08-24 03:15:02.150862,0 days 00:03:10.262979,0.9957732433101,3.515408637174279,0.14605786404090873,4,6,253,0.00013484842040565765,19.880430564339402,0.8670680205088135,0.2737148475986011,0.0016168969991860033,COMPLETE
14,0.783831578583294,2026-08-24 03:15:02.334763,2026-08-24 03:20:54.020223,0 days 00:05:51.685460,0.9820696536195626,3.646875207746502,0.07575442190330105,5,1,649,0.08119607608003551,19.371889518553868,0.9966265184993108,0.2748537115313722,0.0021129065933546817,COMPLETE
15,0.7843906913584581,2026-08-24 03:20:54.198670,2026-08-24 03:27:30.335875,0 days 00:06:36.137205,0.9264764255208795,3.690074249443844,0.05829804560321546,5,20,699,0.08986719130329521,7.090738454501836,0.9875728358048993,0.27545619066057975,0.0024344535417098827,COMPLETE
