Feature,Mean_Abs_SHAP
num__EXT_SOURCE_MEAN,0.46478754
num__AMT_ANNUITY,0.10029705
num__ANNUITY_CREDIT_RATIO,0.098226026
num__GOODS_CREDIT_RATIO,0.09597756
num__EMPLOYMENT_YEARS,0.091662645
num__INST_LATE_PAYMENT_RATE,0.070243716
num__BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.06933139
num__INST_AMT_PAYMENT_SUM,0.06641545
num__POS_CNT_INSTALMENT_FUTURE_VAR,0.0643898
num__DAYS_BIRTH,0.06311143
cat__CODE_GENDER_M,0.06278501
cat__NAME_FAMILY_STATUS_Married,0.059141174
cat__NAME_EDUCATION_TYPE_Higher education,0.055603206
num__EXT_SOURCE_MAX,0.05417026
cat__CODE_GENDER_F,0.05393255
num__PREV_PREV_CREDIT_APPL_RATIO_MEAN,0.04961287
num__PREV_REFUSAL_RATE,0.043543395
num__EXT_SOURCE_2_3,0.043427393
num__POS_POS_REMAINING_INST_RATIO_MEAN,0.042972997
num__ANNUITY_INCOME_RATIO,0.042759858
num__INST_DAYS_PAYMENT_DELAY_POSITIVE_MEAN,0.038160603
num__EXT_SOURCE_MIN,0.03782037
num__AMT_GOODS_PRICE,0.037420984
num__OWN_CAR_AGE,0.036087584
num__DAYS_ID_PUBLISH,0.03602762
cat__FLAG_OWN_CAR_N,0.034848068
num__EXT_SOURCE_1_MISSING,0.033670273
num__PREV_AMT_ANNUITY_MEAN,0.032314718
num__POS_POS_INSTALLMENT_PROGRESS_SUM,0.032165475
num__BUREAU_DAYS_CREDIT_MAX,0.031758167
num__FLAG_DOCUMENT_3,0.031067362
num__EXT_SOURCE_3,0.030299146
num__PREV_PREV_CREDIT_APPL_RATIO_MAX,0.028957022
num__INST_AMT_PAYMENT_MEAN,0.02873118
num__REGION_RATING_CLIENT_W_CITY,0.028407024
num__POS_MONTHS_BALANCE_VAR,0.02724439
num__POS_MONTHS_BALANCE_MAX,0.025886938
num__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.02482787
num__BUREAU_ACTIVE_COUNT,0.023752097
num__FLAG_WORK_PHONE,0.023126984
num__REGION_POPULATION_RELATIVE,0.022585766
num__BUREAU_ACTIVE_RATIO,0.02251458
num__CC_CC_UTILIZATION_RATIO_MAX,0.022263808
num__PREV_AMT_DOWN_PAYMENT_MAX,0.021855842
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.02035532
num__INST_INSTALLMENT_PAYMENT_DIFF_MEAN,0.020207794
cat__NAME_INCOME_TYPE_Working,0.0195069
cat__ORGANIZATION_TYPE_Self-employed,0.018654685
num__POS_SK_DPD_DEF_MAX,0.017665463
num__CREDIT_INCOME_RATIO,0.017613957
num__PREV_CNT_PAYMENT_MEAN,0.017580729
num__POS_CNT_INSTALMENT_FUTURE_MAX,0.017033637
num__REG_CITY_NOT_LIVE_CITY,0.016296072
num__POS_CNT_INSTALMENT_FUTURE_MEAN,0.016198203
num__EXT_SOURCE_1_3,0.015800016
num__BUREAU_MORTGAGE_COUNT,0.015758103
num__DAYS_REGISTRATION,0.015517156
num__EXT_SOURCE_2,0.015453079
num__DEF_30_CNT_SOCIAL_CIRCLE,0.01498223
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.014898497
num__BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.014412538
num__POS_NAME_CONTRACT_STATUS_Active,0.013957427
num__AMT_REQ_CREDIT_BUREAU_QRT,0.013924039
num__DAYS_LAST_PHONE_CHANGE,0.01372341
num__POS_MONTHS_BALANCE_MEAN,0.01366192
num__BUREAU_DAYS_CREDIT_MEAN,0.013534607
num__EXT_SOURCE_1_2,0.012999688
num__DEF_60_CNT_SOCIAL_CIRCLE,0.012953154
num__INST_AMT_INSTALMENT_MAX,0.012808604
num__EXT_SOURCE_STD,0.012803683
num__PREV_CNT_PAYMENT_MAX,0.012499389
num__INST_DAYS_PAID_EARLY_SUM,0.01229385
num__INST_NUM_INSTALMENT_NUMBER_MAX,0.01210395
num__BUREAU_AMT_CREDIT_SUM_SUM,0.012004185
num__BUREAU_AMT_CREDIT_SUM_MEAN,0.01190526
num__PREV_DAYS_DECISION_MAX,0.011645757
num__CC_CNT_DRAWINGS_CURRENT_MEAN,0.011441565
num__INST_INSTALLMENT_PAYMENT_DIFF_SUM,0.011428655
num__CC_CNT_DRAWINGS_CURRENT_MAX,0.011122879
num__INST_INSTALLMENT_PAYMENT_RATIO_MEAN,0.011035291
num__BB_MONTHS_BALANCE_COUNT_SUM,0.010758485
num__INST_NUM_INSTALMENT_NUMBER_MEAN,0.0107487505
num__BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.010681024
cat__OCCUPATION_TYPE_Core staff,0.010407384
num__INST_INSTALLMENT_PAYMENT_DIFF_MAX,0.010294075
num__PREV_APPROVAL_RATE,0.009988804
cat__WALLSMATERIAL_MODE_Panel,0.009968462
num__CC_CC_DRAWING_LIMIT_RATIO_MEAN,0.00982173
cat__FLAG_OWN_CAR_Y,0.009758632
num__BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.009421426
num__BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,0.009388234
num__YEARS_BEGINEXPLUATATION_MEDI,0.0092244465
num__POS_MONTHS_BALANCE_MIN,0.009169856
num__INST_DAYS_PAYMENT_DELAY_POSITIVE_MAX,0.009041514
num__INST_DAYS_PAID_EARLY_MAX,0.008990195
cat__NAME_CONTRACT_TYPE_Cash loans,0.008989865
num__BUREAU_AMT_CREDIT_SUM_MAX,0.008718299
num__EXT_SOURCE_1,0.008562472
num__AMT_INCOME_TOTAL,0.008228709
num__BUREAU_MICROLOAN_COUNT,0.008209885
num__CC_CC_UTILIZATION_RATIO_MEAN,0.008201394
num__PREV_CNT_PAYMENT_SUM,0.007854898
num__PREV_PREV_CREDIT_APPL_DIFF_MEAN,0.0076963264
num__CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,0.0075663575
num__BUREAU_CLOSED_COUNT,0.007538174
num__APARTMENTS_AVG,0.007408226
num__PREV_RATE_DOWN_PAYMENT_MAX,0.00726119
num__POS_POS_REMAINING_INST_RATIO_VAR,0.0069677825
cat__OCCUPATION_TYPE_Drivers,0.006959896
num__PREV_AMT_DOWN_PAYMENT_MEAN,0.006877598
num__CC_AMT_PAYMENT_CURRENT_SUM,0.0068459334
num__POS_POS_REMAINING_INST_RATIO_SUM,0.0067208535
cat__NAME_INCOME_TYPE_State servant,0.0063559357
num__POS_MONTHS_BALANCE_SUM,0.0063519343
num__BUREAU_BALANCE_COVERAGE_RATIO,0.0063311253
num__PREV_PREV_CREDIT_APPL_DIFF_MAX,0.0061486666
num__BUREAU_DAYS_CREDIT_MIN,0.0060677975
num__PREV_CANCELLATION_RATE,0.0059780115
cat__ORGANIZATION_TYPE_Construction,0.0058714338
num__PREV_AMT_ANNUITY_SUM,0.00562645
num__CC_CC_PAYMENT_RECEIVABLE_RATIO_MAX,0.005564555
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.005452087
num__HOUR_APPR_PROCESS_START,0.005348754
num__INST_INSTALLMENT_COUNT,0.00517456
cat__ORGANIZATION_TYPE_School,0.0050138603
num__INST_NUM_INSTALMENT_VERSION_NUNIQUE,0.0049575884
num__INST_DAYS_PAID_EARLY_MEAN,0.004934571
num__PREV_AMT_GOODS_PRICE_MEAN,0.0049191755
num__INST_INSTALLMENT_PAYMENT_RATIO_MIN,0.004897937
cat__OCCUPATION_TYPE_Laborers,0.0048806937
num__INST_UNDERPAYMENT_RATE,0.0048488765
num__CC_CC_MIN_PAYMENT_RATIO_MEAN,0.0047911643
num__CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.0047817873
num__PREV_DAYS_DECISION_MEAN,0.0046929717
num__PREV_AMT_CREDIT_SUM,0.00462716
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0044934675
num__BUREAU_CREDIT_COUNT,0.004309208
num__PREV_AMT_ANNUITY_MAX,0.0042881616
num__PREV_AMT_GOODS_PRICE_MAX,0.0042285104
num__EXT_SOURCE_3_MISSING,0.0042199176
num__PREV_RATE_DOWN_PAYMENT_MEAN,0.0042142365
num__TOTALAREA_MODE,0.004130791
num__PREV_DAYS_DECISION_MIN,0.0040871785
cat__NAME_FAMILY_STATUS_Single / not married,0.003971765
num__BB_STATUS_X_COUNT_SUM,0.0038732234
num__FLAG_PHONE,0.003811682
num__BUREAU_CREDIT_CARD_COUNT,0.0037783375
num__CC_MONTHS_BALANCE_MEAN,0.0037276375
num__BUREAU_CREDITS_WITH_BALANCE_HISTORY,0.003615748
num__CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,0.0036157467
cat__OCCUPATION_TYPE_Accountants,0.0035949077
num__CC_AMT_DRAWINGS_CURRENT_MEAN,0.0035824913
num__CC_AMT_BALANCE_MAX,0.003547279
num__FLOORSMAX_AVG,0.0035418435
cat__ORGANIZATION_TYPE_Military,0.0035170345
num__BB_STATUS_C_COUNT_SUM,0.0034629323
num__PREV_REFUSED_COUNT,0.003457402
num__CC_AMT_BALANCE_MEAN,0.0033135724
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.0032648323
cat__NAME_HOUSING_TYPE_House / apartment,0.00319037
num__ELEVATORS_AVG,0.0031739562
num__BASEMENTAREA_AVG,0.0031737396
num__PREV_AMT_APPLICATION_MEAN,0.0031144493
num__BB_DELINQUENCY_RATE_MEAN,0.0030678418
num__INST_DAYS_PAYMENT_DELAY_POSITIVE_SUM,0.0030460237
cat__ORGANIZATION_TYPE_Transport: type 3,0.0029274619
num__POS_CNT_INSTALMENT_SUM,0.0028764955
num__LIVINGAPARTMENTS_AVG,0.0028519821
num__CC_CNT_DRAWINGS_ATM_CURRENT_SUM,0.002786997
num__HAS_INSTALLMENT_HISTORY,0.0027720006
num__POS_COUNT,0.0027552734
num__POS_NAME_CONTRACT_STATUS_Signed,0.0026560992
num__YEARS_BUILD_MEDI,0.0025807119
num__POS_CNT_INSTALMENT_MIN,0.0025759656
num__LIVINGAREA_AVG,0.0025675956
num__POS_NAME_CONTRACT_STATUS_Completed,0.002557333
num__POS_NAME_CONTRACT_STATUS_Returned to the store,0.0025191344
num__INST_INSTALLMENT_PAYMENT_RATIO_MAX,0.0024602022
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.002365015
num__CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.0022946126
num__BUREAU_OVERDUE_AMOUNT_SUM,0.002216366
num__ENTRANCES_AVG,0.0021987557
cat__OCCUPATION_TYPE_Sales staff,0.0020602387
num__CC_CNT_DRAWINGS_CURRENT_SUM,0.002040951
num__CC_CNT_INSTALMENT_MATURE_CUM_SUM,0.0020358474
num__CC_CC_MIN_PAYMENT_RATIO_MIN,0.0020212948
num__BUREAU_AMT_ANNUITY_MEAN,0.0020189132
cat__ORGANIZATION_TYPE_Industry: type 9,0.001998721
num__LANDAREA_MEDI,0.0019358294
num__BB_MONTHS_BALANCE_COUNT_MEAN,0.0019181421
num__INST_LATE_PAYMENT_SUM,0.0019071482
num__NONLIVINGAREA_AVG,0.0018482707
num__CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.001772027
num__CC_CC_MIN_PAYMENT_RATIO_SUM,0.0017087358
num__BUREAU_CREDIT_TYPE_COUNT,0.0016454672
cat__NAME_HOUSING_TYPE_Office apartment,0.0016201215
num__POS_SK_DPD_MAX,0.0015766835
num__COMMONAREA_AVG,0.0015354685
num__BB_MONTHS_BALANCE_COUNT_MAX,0.0015041366
